post_id,page_content
M.1683961804.A.62B,認識一個身理男心裡女 穿男裝的拉拉同性戀真的越來越囂張了
M.1605507319.A.CB8,否則該學生應該會出來抗議XDDD台大生要屌打高職生真的沒有很難XD焦糖哥哥真的應該多讀點書WWWW可憐哪 高職生到底有沒有唸書沒有讀書真的有差XDDD少時不唸書……XD笑死 果然有沒有讀書有差多讀書好不好老闆有讀書，小編也要讀啊！哈哈高職生不是不喜歡念書 而是真的智商只到那裡~高職水準就不要洗中山可憐 高職生就是高職生中山大學要多叫碩士生讀幾本書高職仔的水準不用太意外XD反串都看不出來 高職學歷不意外
M.1670336511.A.375,文組四天王文組就文組理組的下限就是比較高看標題就知道一定有文組文組可憐吶文組文組可悲就算是米國 選文組也是後悔居多的意思?小時不讀書，長大當……會去讀音樂美術的家境都不差吧果然都是文組科系文組科科
M.1596779881.A.EDC,考不進的人也會想去爽一下吧我覺得可能問畢業五年後的比較準
M.1632128256.A.0E4,花時間指考有比較優越嗎?把心力拿來學習其他的事不好嗎準備指考真不算什麼學習吧，高中那些東西要不是為了尋
M.1624635867.A.2C7,覺得隊輔沒有男友是不是搞錯了什麼
M.1599868754.A.16A,理組最愛酸文組了 理組唸三年培養實力剛好 呵呵
M.1593398154.A.692,那時候聽到小傑說修完商管程可以說自己精通py整個差
M.1657322385.A.051,他的態度良好？？多少壞人都有個看
M.1662054689.A.C45,沒 很多大專集訓是寒暑假去的都一樣在享受學長的棒棒 合理
M.1647274511.A.36E,男十六應該是在藥學系那塊，剛剛看照片才發現以前還有女
M.1646835524.A.969,好男人都結婚了別人看上他一定有道理，選他至少不會爛
M.1593787410.A.71C,華爾街實習，你認真？
M.1644128273.A.6A3,關於這點男生比女生更分得清楚
M.1615969562.A.9AE,我去菁英覺得還行
M.1587191717.A.9D7,管院有些系所到了碩班分組報告還不會做事只會出一張嘴的
M.1616738087.A.0C1,化工系的咪咪現在過得很好喔
M.1610179773.A.8F4,碩士考試QQ拜託讓我上榜 還想呼吸台大的空氣
M.1683298235.A.969,有些部份沒錯阿，大學很好畢業，會低學歷
