Comment,Author
沒事的~先簽延畢明年再記得買就好了,jason90814
草原設計,fish3223
可以直接找廠商,afa2101
https://llano-design.com/checkout/cart,YellowWolf
學校合作的廠商叫久榮 google一下有電話,XperiaZ
感謝以上各位的熱心回覆&lt;(_ _)&gt;,NTUMEDboy
乾我屁事,willy2771
整頓交通,willy2771
滾,hakka5566
炒飯很糟糕= =都當作去吃甜品的,anomic24
有差？笑嘻嘻炒飯就是time invariant的爛，跟ㄆㄨㄣ,chun10396974
一樣,chun10396974
甜品比炒飯還糟糕...,sh3312037
一直都很爛,odsL1573
118最強炒飯—有錢真好屌打這家 可惜關了,misomochi
主體是甜湯吧？,star07
笑嘻嘻比咖哩除廚房還爛,guangto666
得,stoiclogic
下班時間常在台電大樓站看到劉暐路過,GazingM
許正泰好帥,softlifafa
最喜歡還是偶爾想要偉大,chung0817
遜到簡直是個藝術品入坑剛好,mugicha
這是我,Pyroxene
最喜歡妳是不是我編出的一個謊,GanGaMan
沒有夜歸人,voizyc
破了洞的美夢,pl1022
也許我見不到你ㄌqq,fanshin1perc
一整個世代的宿醉,hsinyu
好,Firstshadow
行政大樓之類的管制都完全變虛設了…,hoos891405
哭啊 明天期中考如果停課就好了,Kao0502
前幾天去過台科的應該不用吧,EEzionT
慣性造謠抹黑的媒體,cwh0105
泣不意外 韓總先知,eunhailoveu
還是要考期中考嗚嗚嗚,ann141414
嘻嘻＝＝,cal28802672
期中考還是得考XDDDDD,cinnamonpig
算是不幸中的大幸嗎？,taipoo
https://bit.ly/3sZanWv,hoos891405
這個不知道是不是真的,hoos891405
三立、蘋果都報了,hoos891405
還有幾集可以逃,jason90814
台灣媒體素質不EY,jzoethai
119學生：我讀頂大,FXW11314
116學生：我讀四大,FXW11314
114學生：我讀清交,FXW11314
113學生：我讀交清,FXW11314
112學生：我讀學店,FXW11314
跟彌生軒的聖誕老公公看起來是同款,cupress30
https://i.imgur.com/eqUcAt8.jpg,cupress30
不爭氣的笑了,sandy50315
推油油料理讚讚讚,f9torres
這比冰淇淋還猥褻,nodnarb1027
聖誕猴子有尾巴不行嗎？,cwh0105
禮物就是從裡面掏出來的,daye87
我以為113應該是...,reunique
……,cal28802672
？？？,Alcatraz666
我覺得你在對我性騷擾,mader5566
還好你是發在ptt 不然又要被檢舉了,Moutza
被檢舉XDDDD,aquariuschi
小心被送性平,unmolk
XDDDDD,sherryimayda
XDDD,a031405
性平會牛棚熱身中，冰淇淋都可以去性平了，憑甚麼這,vasily0908
個不行,vasily0908
聖誕老公公這樣充滿性暗示，讓我感覺受到冒犯,haru97724
好喜歡這個水獺聖誕老公公喔，好可愛,dajyunlin
好糟糕喔XDD,huma7912
也太搶眼了吧www,divaxxxx
冰淇淋表示,AllenHuang
笑得你心發寒,yolo12345
好好笑 好長,AWMpewpew
脫肛而已啦,b03902123
笑瘋,zzk2671
笑死,aqeghkmb
進去查詢正常 @台北,Lamberna
樓下賴伯瑞,cuteSquirrel
為啥我只會轉圈圈 其他功能正常==,xhakiboo
我中午的時候也在轉圈 最近超慢的,lobabun
樓下管爺,unmolk
@CMKuan,eunhailoveu
今日下午系統一度無法查詢，已立刻修復囉,NTULibrary
樓上賴伯瑞,therealcaco3
圖書館事務問我大柏瑞最准 CM管根本大外行 欸特他也沒用,jzoethai
*準,jzoethai
好扯、、、有夠電,installbtien
錢,chaoannricar
拉麵版主辛苦了,Lin7star
錢,cwh0105
辛苦了,greywagtail
湯尼流感發錢,skyHuan
https://i.imgur.com/xBIxzKh.gif,stereopony
謝謝拉麵板主,tontontonni
錢錢,jzoethai
PUSH,a031405
陽明到現在都還可以騎到校內哦,JackChe
台大之前並不算機車能進校園內，所以不是後來才禁止的,YCL13
陽明不給騎的話 大概沒人要去上課了 xD,xhakiboo
禁止就禁止 誰跟你打壓啊== 世界繞著你轉才滿意喔,hank850503
x教授是身心（？）障礙者，不要拿來混為一談,xBox1Pro
北藝也行啊,tnfsh11287
贊成非公務機車禁止進入校園,aa855188
光是腳踏車就一堆車禍受傷頻傳，機車會更嚴重,aa855188
水源男雙換任意男單，意者可以站內我，酬勞可議,wen23022
水源女雙換水源女單 30k 意者站內 偏好c棟,lin91223
水源C棟男雙換任意男單，酬勞可議！意者可站內討論,CaterpillarK
研究生男六想換研一低樓層或男八、國青，意者請站內,KH21
水源C棟男雙換任意男單，酬勞可議，寒假要離校的歡,CaterpillarK
迎討論！,CaterpillarK
我有國青七樓 面辛亥路三段 預計下學期辦理宿舍遷出 有,kevinfur
興趣的可站內討論細節,kevinfur
國青二樓欲換水源/長興女單，酬勞可議！,snowbag512
長興男雙換長興男單，酬勞可議！,dickkky
長興男單換水源或長興任一窗外視野沒有被建物擋住的,qwerasdf987
男單，酬勞可談，意者站內信,qwerasdf987
換長興七樓面向101男單，酬勞可以,bus28
目前住長興七樓面101男單，想要換的同學酬勞可議,bus28
抽到男二想換總區，可以站內談,dknx
水源女宿單人房 8月退宿 可站內討論細節,beanbro
水源男雙 換 水源男單 酬勞可議 站內信聯絡 謝謝,Viridian
水源女雙換女單 高酬勞,lin91223
水源女單一樓換高樓層 請站內,khsjds
長興男雙換長興/水源男單，酬勞可議，意者麻煩,Jerryacceler
水源a 中樓層安靜景觀好 可討論,leewo
A換任一水源房間,leewo
水源男雙換長興/水源男單，酬勞可議，意者麻煩站內,magicicada06
（現室友10月底也會搬出可協調）,magicicada06
男六換國青or 研一 酬勞可談 站內信,as850825as
水源男雙換男單 站內信 酬勞可議,Viridian
水源男雙換男單(長興 水源皆可) 30k 可議,olololo
意者站內謝謝,olololo
女四想換總區 酬勞可談～,mimi110
水源男單 歡迎內站信討論 大概三月前會搬走,james960178
長興男單，七月前會搬走，歡迎私訊討論,oooeee77
研究生男二換長興/水源男單，可議,w871221
或換國青,w871221
劉暐再不回來我就要得憂鬱症了,shibasun
劉暐再不回來真的要哭了,Intimm
總圖鐘樓,chaoannricar
社辦,rutw
也可以練習台語啊,bw64046404
還是練習客語,GazingM
我都練爬說語,cwh0105
宿舍可以在讀書室？或是交誼廳？,znling
哪邊適合講電話就哪邊練啊,AUGnebulaUGA
之前外語中心有口說練習活動，不知道這學期有沒有…,Yuan
宿舍頂樓,mia20031226
基隆路邊 有夠吵,jerryh612
空教室一堆，不然去用語言中心,KH21
醉月湖邊有聽眾...閉館後的各館舍前也都很空啦推,AprilMight
用 zoom 練阿，不過好像不能用了,agario
外語中心的口說活動這學期暫停了QQ,greywagtail
台大國際英語演講社 4/10 18:40 社課@活大103,buritoredcap
可以看Pornhub順便練習英文口交,Volibear
趁室友不在抓緊空檔練習,winding529
16樓...,hjkkk123
加油!,cuteSquirrel
好感動 謝謝松鼠QQ,stoiclogic
頂樓風好大,mayolane
加油,YukinoWin
加油~~~,jzoethai
開拉麵地圖 沒吃過的都去踩踩看阿,charlie1667
廢文中我就只給你推,chaoannricar
我下麵給你吃啦&gt;&lt;,kevin1212
金村美玖幫我健康管理,briany329
3樓噁心= =,ganhua
想推南勢角的藏味，但不確定符不符合你的味蕾,metalamos
感謝你分享的這幾間店,metalamos
鳥人西門的好像比林森北路的好吃，林森北路半年內經歷,metalamos
兩次不同團隊服務真是天差地遠就沒有很想再訪,metalamos
我也愛Nagi 大直，每次到大直不知道吃什麼就會不知不覺,metalamos
走到店門口XD,metalamos
雞吉君是Okaeri お帰り的老闆還是主廚開的店，也想去吃,metalamos
吃看,metalamos
個人覺得麵屋武藏的麵的口感有記憶點，附近的麵屋一燈,metalamos
就是吃過一次就可以的那種，雞白湯的味道很淡，麵條普,metalamos
通，反而炸物還比較好吃；麵屋輝的沾麵復活前還不錯，,metalamos
上個月去吃覺得味道有點不太一樣，沾醬多了苦味也沒那,metalamos
麼濃,metalamos
四年前吃過麵屋壹の穴的雞白湯跟魚介豚骨，當時覺得好,metalamos
吃最近想再回訪，但看了評論不太敢去,metalamos
已歇業的吳留手曾是心中前五名的店 QQ,metalamos
推，廢文裡不廢的,zxcv200298
推,geedbaka
推推,kikiandlala
推拉麵公子,yy207747
雞白湯的話西門的吉天元不錯，在雞吉君附近也有一家是主,tyloyal
打泡系的麵屋鳳華,tyloyal
大和家 很貴但值得,p456801
雞二我吃十幾次了 你還真可惜,CJhang
現在豚人晚上有二郎可以ㄘ,A1236201
推,FXW11314
樓下報名嗎,joseph40
突然發現好久沒看到海綿,cal28802672
海綿被約打球之後就消失惹～,QQKKQKQK
小弟決定為ntu粉身碎骨,ht91008
讓交流版綠蟑螂永遠消失,ht91008
樓上快發政見啊,cwh0105
被動參選 被動落選,AllenHuang
說要為ntu粉身碎骨的外國人還不趕快PO政見?,feit
好啦幫推一個,chaoannricar
海綿出來打球啊 QK當球,isaswa
痾...要打也是海綿當球吧...這次我委屈一點好惹，我當球,QQKKQKQK
，下面留言叫海綿出來打球吧！,QQKKQKQK
海綿怎麼消失的我都不知道( ′‧胬蹏s‧胬莅,cal28802672
),cal28802672
樓下報名,zzzz8931
Yes I do,Imotucc
我知道 但我不喜歡妳,yanchi030
校友證,cwh0105
要暑宿就不能離校吧？ 不能離校就不能拿畢業證書吧？,PGa10
宿舍跟學校是分開的，確認過是可以領證書的 （現在只剩畢,fatbean
業證書沒拿而已）,fatbean
我怎麼記得要先退宿才能拿到畢業證書？？,chioushian
沒那麼快sync吧 (BOT,hortune
如果是要進校門的話失效的學生證會被駐警隊擋下來嗎？,NTUSTDYU
宿舍的話拿畢業證書後還會給你一個月有效期限的樣子最好,Samia04
還是去問問你的輔導員,Samia04
謝謝大家，已獲得教務處回答！,fatbean
焰焰,stereopony
= U =,geedbaka
巴/マミ,cwh0105
焰焰我婆,KHDSN
臭,Imotucc
小QB可愛,ssd860505da
https://i.imgur.com/2lV0926.png,ssd860505da
少了customers差那麼多喔,jason90814
我們的學費拿去當活大自助的補助嘔嘔嘔,IokUdiefirst
二樓哪裡看到學校要補助廠商? 補助跟減租傻傻分不清楚?,washi54
二樓你學費是付了多少？,Nexvesk
請問校園商家跟校內商家區別是什麼呀,kabuasua
2樓跟台灣酸民的起手式：「我有繳稅」87%像,hlhss89083
不然減租減少的收入哪邊補?好啦不是學費 是全民稅金,IokUdiefirst
你的學費也是全民補助的好不好 以為繳幾萬念得起大學哦？,allsame
對阿我就靠實力考上台大拿這補助 活大自助靠色香味,IokUdiefirst
俱全拿補助我當然也沒話說,IokUdiefirst
你可以直接說你覺得台大自助有夠好吃來嘴我 那我OK,IokUdiefirst
二樓是在崩潰幾點的（？,eeEthan
一餐幾十塊的東西是能多好吃 就便宜讓學生能吃飽而已 校,allsame
園內餐廳的定價是要要求多好吃 要好吃校外一堆餐廳任你選,allsame
= = 沒吃過台科或清大的嗎 前者價位一樣吧,IokUdiefirst
菜色屌虐 後者菜色差不多 但價格屌虐,IokUdiefirst
我不想跟你爭執好不好吃 味覺很主觀 但我的生活經驗 在台,allsame
北就是一分錢一分貨 便宜想要求好吃建議你自己煮,allsame
同意 就像補助計程車一樣 有人高興有人隨便有人靠北,IokUdiefirst
笑死說難吃就算了搬出清大來 沒待過新竹？,skyHuan
價格屌虐沒看到自助餐亂算整天上靠清喔 秤重的那間價格也,skyHuan
沒屌虐好嗎肉也一天到晚沒煮熟 新竹物價沒比台北便宜到,skyHuan
哪去,skyHuan
噢對阿 我覺得你們那家還活著也是很扯 怎了嗎?,IokUdiefirst
2樓就標準八卦版風格 然後看到其他人不買帳就開始崩潰,whitecut
然後竟然有人覺得清大的好吃? 這不是反串就是味覺壞了吧,whitecut
嘿阿就和八卦酸民起手式先喊對立方崩潰一樣,IokUdiefirst
好不好吃跟減租有什麼關係啊，在那邊偷換概念,Nexvesk
難道好吃的店家-70%難吃的+10%喔,Nexvesk
我覺得學餐滿好吃的，希望大家可以撐過去,greywagtail
恩和減租沒關係 是希望直接換廠商,IokUdiefirst
和G大一樣說好吃 我就沒話說了 那幫忙撐過去很好,IokUdiefirst
台科也還好吧,minicoke
有些店沒開在學校裡面在外面一定倒,hjkkk123
去你家巷口看牙科很難嗎,jharden13
台大旁邊很多牙醫選一間看就好,roy047
有,heyimeow
我想說保健中心比較便宜，如果單純洗牙比較划算,rothanlin
不推保健中心的理由是什麼,rothanlin
"我推薦""大保健中心"" ""芯語""醫師",pttnowash
洗牙不是有健保嗎 到哪裡洗價格沒差吧,anomic24
膽子夠大可以,cwh0105
洗牙有健保啊 很便宜的,daniel5225
不好預約吧,AISC
外面診所你平日中午上午去人沒幾個,AISC
可以 網路預約不到直接去現場掛 人沒有很多,AHEAD099
學校附近有比較推薦的牙醫診所嗎？,KookV
之前洗過 感覺蠻隨便的 後來學校附近找的都洗的更仔,justin981287
細,justin981287
同問學校附近有沒有推薦的&gt;&lt;,bicdyueh1212
六張犁美麗潔 最好先預約,deltz
後門往下走下去有間西雅圖牙醫還不錯,Fates
之前去洗醫生一直講電話根本沒洗乾淨,Allen624
可以我洗過 還會提醒你下次洗牙時間,benny84083
為甚麼還要膽子夠大？,zzzz8931
可以 而且掛號費很便宜,kuan
西雅圖洗很仔細 只是爆幹痛,Agdanpanda
沿著118走到和平東路上那邊有家師苑 我滿喜歡,u03330009
外面洗牙很便宜有健保,narf
可以搜一下某位比較不推哦,leewo
推西雅圖牙醫，而且很貼心半年就打電話提醒叫你來洗,tontontonni
牙,tontontonni
可以,majorland
上學期去過，在二樓。不難預約且經驗ok。,apriori
沒約到就下午診開始前去等抽號碼牌，邊等邊看書滑手機。,apriori
推一下口腔益生菌 個人覺得有改善牙垢問題,tcn1john
萬隆昱翔牙醫台大學生有折扣，醫生很細心,ning1212
宮水神社,cwh0105
推推,kevin1212
蛤,eunhailoveu
蛤,maozz
推藏頭,FuruyaRei
http://i.imgur.com/O96O9lq.jpg,ahuihui
(,cuteSquirrel
1&gt;,Imotucc
超噁,aaa790311
廢物台大學生,IsaacNewton
來路不明的，可能是也可能不是，當笑話看吧,bbbing
笑死，台大派兩方學生辯論，馬上就知道誰是笑話了,macocu
要一堆個資，結果發起人是誰還不知道XDDDDD,saiga12416
這是真的在校生，還是政治學生？,anomic24
這次操作真的太超過了吧？ 執政黨真的以為票多就可,scitamehtam
以為所欲為？ 罔顧是非對錯？,scitamehtam
學生會：這不是我這不是我,hortl233
這種操作真的是丟臉，最沒格調的那種,illawang
丟臉，我看是反串吧,Bingo99005
真的學生會？？ 沒那麼智障ㄅ,Dheroblood
側翼不意外,eunhailoveu
嘔嘔嘔嘔嘔,madeathmao
這個不是學生吧，我看應該是台大醫院偷跑出來的喔,koj
這反串吧？真的的話也太狂XD,yeeandrew
發誓自己是台大生是三小???從沒看過這種低能的問題 光憑,jzoethai
這點就足以判斷這八成是想補刀林智堅的劣質反串了 笑鼠w,jzoethai
之前的連署 #1QzOFQCd (NTU),judas2ds
樓下u11n12 jason哥,ms0286415
112不ey,stoiclogic
看起來像是騙個資的詐騙集團，誰去報警抓一下。,sleepcat612
請奸哥自己去向教育部訴願別再影響台大了,Alan1597
沒署名被當笑話，要怎麼跟黨邀功？自掐哥好歹有露出本名,weijing
造冊了 綠色恐怖,Kevintsaitsa
誰在那邊拉低素質,bruce1119
那三點講出來真是侮辱台大學生智商,ucherey
超級低能,prmotolprlin
本院對決定對林生判處 極 刑 ......撤銷學位！！！,willydp
說真的 對判決不服應該去打行政訴訟 不是叫人一起來吵,Dheroblood
然後叫人吵還不署名 然後沒人署名還跟著連署的人應該,Dheroblood
要被追回學位,Dheroblood
我發誓我是彭于晏,Royne
閗ケ蛪,mtyk10100
我OK 你先連署,shaqiantsai
閗ケ蛪這個召集人太不適任了，下台啦,Howard61313
看起來超像反串 那表單有夠沒質感,LincolnBoy
這個發誓自己是台大學生就跟小智發誓自己絕沒有抄襲一,usercode
樣,usercode
跟我認知的學生會差不多 分不出是不是反串,haha98
三民自有新聞，看來比較像撤翼,scitamehtam
發誓笑死,cal28802672
真髒真噁,taylor0607
滾,ohisjeff
總統還在發文相信林智堅清白…，總統在幹嘛？ 整天,scitamehtam
搞選舉？ 沒時間處理國家大事？ 而且這分明對著台,scitamehtam
大說的啊…扯,scitamehtam
我已經幫忙連署好幾份了 有大谷翔平、前田健太、Juan,alex8725
Soto都加入連署了 加油！,alex8725
理解不能...,FHShih
支持,arthur9292
可能麵包再大一點，鋪設多一點可以吧,cuteSquirrel
樓上....？,a22735557
支持校園內區間測速,ESTARRIOL
還有違停拖吊,cuteSquirrel
汽車違停你檢舉根本沒用，只會貼勸導單而已,xBox1Pro
腳踏車很便宜，而且多半是窮學生騎的，拖吊當然沒差,xBox1Pro
腳踏車19km/h 四輪19.1km/h,eunhailoveu
當然是有請薛丁格來測啊,dosoleil
轉彎小路遇到超速四輪根本只能對人生表達問號w,AprilMight
0 因為四輪看到速限20都會開30,Imotucc
50% 有或是沒有==,FuruyaRei
真的是一個高水準的問題,kbt2720
這是高手,kbt2720
大概要等到撞死學生或撞傷校長之後，校方才會重視,verdandy
我難過,maozz
提出好問題的重要性,aristoIris
不錯的條件機率考題,EEzionT
機統作業自己寫啦,unmolk
原來 XD,cuteSquirrel
待了6年我還沒遇過乖乖跟在腳踏車後面不超車的,emma789
這一題綜合了抽樣、調統和數統，作業也太難= =,Sixigma
樣本數給一下啊,newcountry
沒錯啊 要等撞死學生再說 沒撞死前只能把車禍致死率,wiston1419
假設為0,wiston1419
違法行為要造成足夠的管理問題才會被處理 就這麼簡單,wiston1419
校內不適用道交條例啦 限速什麼的沒有公權力可以執行,tom282f3
沒聽過幾個真的被撞的,kenness1019
行人被腳踏車撞的機會還比較高,simat
汽車超速被攔下只是勸誡而已，上次聽到駐警第一句話,kaname0831
就跟駕駛說我們沒辦法罰你啦,kaname0831
等你在其他地方遇到開100的砂石車你就會看開了啦,klub
交通很簡單 輪子多的贏 輪子少的輸,klub
那麼簡單還要交通部幹嘛,rainjuly
我在舟山路被超過 目測至少15,stcr3011
